CityName,Typeofwaste-organix-inorganic-dry-wet-mix,DisposalsiteorSLF,LocationofwasteDisposal,Distancefromcitycenter,Operationalsince,Quantity-TPD
PimpriChinchwad,Organic,MoshiDepo,MoshiDepo,16,2008,20
PimpriChinchwad,Wet&DryProcessPlant,MoshiDepo,MoshiDepo,16,1992,900
